Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,373000000,1148237972,1542202188,1564374616,1312150537,1655146033,1797009713,2073779776,2523267090,3036370162,3225407184,3251822586,4708577320,6057805398,4165433835,3385240232,4139000478,3865061456,3860074807,4180514594,3558036700,3888104332,4514628606,5000180928,5088655998,4673534590,6155240154,6897820419
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5740000000,6000000000,5370370370,6677685950,4917757637,3458209608,3470692308,3791634571,4066098682,2877642953,3234992624,2935611511,3236695547,4448218076,6634070244,8597932975,11895843639,15435363885,22868122622,18753912271,23268412730,22986457963,23051990359,29303193872,27459622984,16391447396,12635941715,15339937295,16856036284,18775367111,16849656190,16986813988,15997337391
Belize,,,,,,,,,,,,,,,,,,,,,46148810.02,49226883.6,35123491.38,37577555.28,49826574.7,46065331.22,46633691.94,58974177.7,77017604.3,109154346.5,120500000,144500000,160000000,187500000,141000000,159000000,154000000,155500000,154000000,213000000,298000000,257000000,256500000,231500000,233000000,261500000,274500000,295000000,365500000,274000000,264500000,210000000,238500000,284000000,365500000,366500000,403000000,342000000,380000000,406000000,388500000,526500000,657173426.8
Bermuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,865343000,794297000,702521000,704322000,775746000,791397000,883410000,983043000,968986000,1094851000,842869000,945700000,945200000
Bolivia,,,,,,,,,,,166666666.7,184427609.4,253253102.7,257871064.5,306246876.6,553623188.4,524137931,618290854.6,928085957,921025976.1,754929379,945664622.5,874025997.5,717863638.7,1213636391,1046649549,536849720.3,587323797.9,642782002.2,546466063.1,610002370.2,832361018.7,942770872.2,949882659.6,859573265.6,1023659531,1201058879,1555978100,2005961949,1555259951,1523663203,1161667066,1288172985,1069469011,966983808,1361095764,1587836279,1992505479,2926792495,2942815328,3341832299,4748433122,4786641071,5830709334,6940351216,6692861577,7147105760,8334527685,8297786006,8127949870,5779504197,6802622576,
Brazil,2984287126,3254003978,3906482215,4433909873,3945920612,4363220210,5383556740,5175745046,6408490805,8372887333,8694949202,10390955067,12393184514,18427695393,26692655164,33202202647,35293372835,38879499001,46130434386,51213073779,54869959137,60840759337,59417401686,33915348956,32901534613,42806696244,51195731724,65594463867,74951475147,1.11E+11,93777648025,80603014101,73951981637,91369471569,1.21E+11,1.33E+11,1.47E+11,1.57E+11,1.57E+11,1.04E+11,1.24E+11,1.05E+11,88954581989,94099719429,1.20E+11,1.53E+11,1.97E+11,2.77E+11,3.67E+11,3.13E+11,4.82E+11,5.71E+11,5.28E+11,5.36E+11,5.05E+11,3.14E+11,2.69E+11,3.02E+11,2.89E+11,2.91E+11,2.38E+11,3.20E+11,3.48E+11
Barbados,,,,,,,,,,,,,,,,77327360.03,117732807.7,118871835.8,126525133,157758663.6,210958086.8,261025207.6,223984487.6,209466514.2,185949386,184855566.1,210659772.3,232038979.8,270123800.5,326306369,300402724.6,270322676.9,137600000,197782528.7,238303584.7,268184756.1,286282503.9,385124049.1,532889176.2,575995624.7,554000000,477300000,540600000,586200000,662600000,722600000,897104750,886899200,875483700,757038750,719367550,794384250,745924400,772805500,776494850,797933650,791860200,778175600,727000000,771750000,849250000,884600000,
Brunei Darussalam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,554798296,657643077.8,763509015.7,973009474.3,1217360539,1171237574,1735602787,2113413973,1844685641,1369501504,983505969.7,783642420.9,808226832,1242283756,987246156.6,1061679576,1083408020,1197218260,1590337303,1967305657,1884269144,3247502189,4820683070,6263769687,7163719575,4692037680,4557386411,3946802423,4221179302,5571469244,5209599508,4872892069,4380191225,4312349930
Bhutan,,,,,,,,,,,,,,,,,,,,,40565196.9,46992334.44,52421711.67,63782254.7,63377471.38,74995880.75,83886986.06,93289495.81,109103320.3,89513420.23,80162784.95,77920676.91,96058279.77,92845378.29,126667620.2,129898610.5,113655868.8,95853036.16,113800830.4,140746856.7,213682998.2,288741898.3,323548461.9,366586519.3,453880415.1,430628037.8,420957964.4,350892999.8,540043695.9,579485507.1,978412802.8,1231336672,1237501360,828610841.5,1019073157,1111220604,1236422647,1276446679,1165122107,960088654.6,769176155.8,909892250.8,
Botswana,1829471.186,2434606.896,3136419.774,3735702.324,5111684.633,6072582.851,11227595.57,14922258.82,20362674.4,29593745.74,43620058.98,64285775.89,83783151.7,124259102.8,146509741.3,148815218.5,125637531.6,151135505.9,214693591,305150878.5,424909132.4,466095534.2,382213237.2,344508251,365341761.1,256337929.5,299205356.4,304626577.6,623705455.7,1113512221,1416446329,1309436457,1261325528,1197265664,1106663803,1283418023,1136485106,1207473506,1817349286,1405394576,1710513936,1640741628,1642200083,2264216772,2808295382,2516836770,2151741386,2438372011,3806046212,3301644062,4385400416,5910998664,5006667997,3550712702,3906670983,3848590154,3328390754,4027238705,4411763745,5154998739,4896080559,5130747944,5078890828
Central African Republic,22023272.36,26094745.77,28977963,28161380.58,31425087.91,32236880.29,33376958.58,35772229.48,31102984.37,30773897.23,34008298.9,37769217.85,42455668.09,56530336.41,43621928.49,52260036.53,53986076.65,58612903.25,66472906.06,68634286.14,55850168.17,60721708.31,49907756.37,77939253.28,78497494.8,133049026.9,143419443.6,151698680.6,132933479.2,145058921.9,183086473.9,174210550.9,175113093.3,135275642.9,99638926.75,157482215.6,73317020.47,94526118.06,106530741.5,129551919.1,101508293.8,95510950.74,95871027.77,73162938.97,86674954.59,131980837,149609812.9,181662922.3,253730770.8,272980640.7,360893433.2,334209993.2,271946481.8,127125020.9,416684447.1,369781248.8,409962365.9,530547522.6,577454577.6,577538351.2,604947434.6,654289587.3,587893841.8
Canada,,9285705327,9818770754,10393000390,11876523989,14437130697,16599192450,16071968539,16914602082,19202613495,19511915016,23005305435,26240024245,32055110552,41606616380,43319666436,52058343343,51569346497,51542127138,61316798697,65292717929,77721042160,62688507287,69129489108,74771501297,78852740496,82171556757,96060839532,1.20E+11,1.34E+11,1.27E+11,1.18E+11,1.09E+11,1.07E+11,1.13E+11,1.17E+11,1.19E+11,1.39E+11,1.33E+11,1.40E+11,1.54E+11,1.45E+11,1.50E+11,1.83E+11,2.20E+11,2.65E+11,3.11E+11,3.51E+11,3.74E+11,3.02E+11,3.80E+11,4.33E+11,4.55E+11,4.60E+11,4.49E+11,3.71E+11,3.48E+11,3.88E+11,4.03E+11,4.02E+11,3.67E+11,4.76E+11,5.25E+11
Central Europe and the Baltics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90702420762,1.03E+11,1.06E+11,1.17E+11,1.10E+11,1.09E+11,1.14E+11,1.24E+11,1.51E+11,1.91E+11,2.20E+11,2.67E+11,3.66E+11,4.38E+11,2.96E+11,3.04E+11,3.47E+11,3.06E+11,3.06E+11,3.31E+11,3.00E+11,2.88E+11,3.25E+11,3.86E+11,3.90E+11,3.67E+11,4.67E+11,5.27E+11
Switzerland,,,,,,,,,,,10126155105,12252040575,14706344967,19491157834,22405330544,18888072994,17830098454,19047096665,27881725938,34458642308,41854058750,35288293799,35761321512,36114495385,31812257829,33136684947,50759078339,62767528207,70158218410,69333199872,92806451148,85277245916,81077074091,75087846194,85345951667,99021351508,93896028349,76910143749,83186775364,80667409156,76040314594,79368758277,81082792813,94086539631,99154744789,1.14E+11,1.23E+11,1.31E+11,1.56E+11,1.57E+11,1.55E+11,2.04E+11,1.83E+11,1.78E+11,1.86E+11,1.74E+11,1.76E+11,1.81E+11,1.87E+11,1.91E+11,2.20E+11,2.09E+11,2.07E+11
